Name,Precursor_type,NCE,CE,Ion_mode,InChIKey,Formula,Ionization,PrecursorMZ,SMILES,RT,MSMS,intensity,TQ_CE
"6-Hydroxy-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",[M+H-H2O]+,,,P,ZZOXVUOWFGRQLK-UHFFFAOYSA-N,C15H20O3,ESI,231.138,CC1=C2CC3C(=C)C(CCC3(CC2OC1=O)C)O,11.67537398,53.0389,0.0072886863238944,
"6-Hydroxy-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",[M+H-2H2O]+,,,P,ZZOXVUOWFGRQLK-UHFFFAOYSA-N,C15H20O3,ESI,213.1274,CC1=C2CC3C(=C)C(CCC3(CC2OC1=O)C)O,11.67537398,117.0702,0.0072709537590233,
"6-Hydroxy-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",[M+H-2H2O]+,,,P,ZZOXVUOWFGRQLK-UHFFFAOYSA-N,C15H20O3,ESI,213.1274,CC1=C2CC3C(=C)C(CCC3(CC2OC1=O)C)O,11.67537398,127.0546,0.007134094602026,
"6-Hydroxy-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",[M+H-2H2O]+,,,P,ZZOXVUOWFGRQLK-UHFFFAOYSA-N,C15H20O3,ESI,213.1274,CC1=C2CC3C(=C)C(CCC3(CC2OC1=O)C)O,11.67537398,129.0656,0.0065754604066458,
"6-Hydroxy-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",[M+H-H2O]+,,,P,ZZOXVUOWFGRQLK-UHFFFAOYSA-N,C15H20O3,ESI,231.138,CC1=C2CC3C(=C)C(CCC3(CC2OC1=O)C)O,11.67537398,130.078,0.0065579909530779,
"6-Hydroxy-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",[M+H]+,,,P,ZZOXVUOWFGRQLK-UHFFFAOYSA-N,C15H20O3,ESI,249.1485,CC1=C2CC3C(=C)C(CCC3(CC2OC1=O)C)O,11.67537398,155.0609,0.0065062007453112,
"6-Hydroxy-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",[M+H-2H2O]+,,,P,ZZOXVUOWFGRQLK-UHFFFAOYSA-N,C15H20O3,ESI,213.1274,CC1=C2CC3C(=C)C(CCC3(CC2OC1=O)C)O,11.67537398,116.0622,0.0064634847327389,
"6-Hydroxy-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",[M+H-2H2O]+,,,P,ZZOXVUOWFGRQLK-UHFFFAOYSA-N,C15H20O3,ESI,213.1274,CC1=C2CC3C(=C)C(CCC3(CC2OC1=O)C)O,11.67537398,178.0782,0.006351509058832,
"6-Hydroxy-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",[M+H]+,,,P,ZZOXVUOWFGRQLK-UHFFFAOYSA-N,C15H20O3,ESI,249.1485,CC1=C2CC3C(=C)C(CCC3(CC2OC1=O)C)O,11.67537398,170.1094,0.0060916540848118,
"6-Hydroxy-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",[M+H]+,,,P,ZZOXVUOWFGRQLK-UHFFFAOYSA-N,C15H20O3,ESI,249.1485,CC1=C2CC3C(=C)C(CCC3(CC2OC1=O)C)O,11.67537398,95.0858,0.0060152902262988,
"6-Hydroxy-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",[M+H-2H2O]+,,,P,ZZOXVUOWFGRQLK-UHFFFAOYSA-N,C15H20O3,ESI,213.1274,CC1=C2CC3C(=C)C(CCC3(CC2OC1=O)C)O,11.67537398,169.0655,0.0059036063632042,
"6-Hydroxy-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",[M+H-H2O]+,,,P,ZZOXVUOWFGRQLK-UHFFFAOYSA-N,C15H20O3,ESI,231.138,CC1=C2CC3C(=C)C(CCC3(CC2OC1=O)C)O,11.67537398,157.1018,0.0057599346027643,
"6-Hydroxy-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",[M+H-2H2O]+,,,P,ZZOXVUOWFGRQLK-UHFFFAOYSA-N,C15H20O3,ESI,213.1274,CC1=C2CC3C(=C)C(CCC3(CC2OC1=O)C)O,11.67537398,143.0865,0.0057045384984808,
"6-Hydroxy-3,8a-dimethyl-5-methylidene-4a,6,7,8,9,9a-hexahydro-4H-benzo[f][1]benzofuran-2-one",[M+H-2H2O]+,,,P,ZZOXVUOWFGRQLK-UHFFFAOYSA-N,C15H20O3,ESI,213.1274,CC1=C2CC3C(=C)C(CCC3(CC2OC1=O)C)O,11.67537398,168.0574,0.0056298880492095,
